job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,posting_date,application_deadline,company_name,industry,benefits_score
Ai Product Manager,93281,Entry-Level,Full-Time,UNITED STATES,Large,Fully remote,"hadoop, python, azure, spark, statistics",Bachelor,1,20-08-2024,15-10-2024,Cloud AI Solutions,Technology,6.7
Deep Learning Engineer,86606,Mid-Level,Part-Time,CANADA,Small,on-site,"docker, scala, linux",Bachelor,3,08-05-2024,29-06-2024,Smart Analytics,Media,6.2
Ai Software Engineer,114314,Senior-Level,Contract,FRANCE,Medium,Fully remote,"azure, git, hadoop, data visualization, mathematics",PhD,7,26-09-2024,11-11-2024,AI Innovations,Media,5.1
Machine Learning Researcher,44105,Senior-Level,Part-Time,INDIA,Large,on-site,"java, hadoop, mlops",PhD,6,10-07-2024,01-09-2024,Future Systems,Retail,5.7
Ai Specialist,87807,Mid-Level,Full-Time,AUSTRIA,Large,Hybrid,"pytorch, git, java, scala, tensorflow",Bachelor,3,30-03-2024,19-04-2024,AI Innovations,Automotive,7.2
Principal Data Scientist,105998,Mid-Level,Full-Time,AUSTRALIA,Large,Fully remote,"spark, tableau, gcp, linux, hadoop",Bachelor,4,05-09-2024,16-11-2024,Cloud AI Solutions,Energy,7.3
Deep Learning Engineer,205845,Senior-Level,Contract,SWITZERLAND,Medium,on-site,"kubernetes, python, data visualization, computer vision, azure",Associate,9,05-03-2024,06-04-2024,Machine Intelligence Group,Telecommunications,8.5
Ai Architect,108031,Senior-Level,Contract,SINGAPORE,Small,Hybrid,"mathematics, azure, pytorch",Associate,6,20-09-2024,30-10-2024,DeepTech Ventures,Manufacturing,9.2
Ai Consultant,43599,Mid-Level,Part-Time,CHINA,Small,Hybrid,"mlops, r, tensorflow, sql, gcp",Associate,4,23-02-2024,01-05-2024,Quantum Computing Inc,Media,6.4
Data Scientist,100782,Mid-Level,Freelance,UNITED KINGDOM,Small,Fully remote,"mathematics, r, sql, spark",Bachelor,3,21-02-2025,09-04-2025,Algorithmic Solutions,Manufacturing,9.9
Autonomous Systems Engineer,124064,Senior-Level,Part-Time,SINGAPORE,Small,Hybrid,"java, scala, nlp, azure",PhD,8,25-12-2024,16-02-2025,DataVision Ltd,Gaming,7.4
Head Of Ai,32020,Entry-Level,Freelance,CHINA,Large,Fully remote,"sql, hadoop, pytorch, linux",Associate,1,09-01-2024,30-01-2024,Algorithmic Solutions,Media,8.5
Machine Learning Engineer,88815,Mid-Level,Freelance,FINLAND,Medium,Hybrid,"linux, java, git, mathematics, nlp",Bachelor,3,21-08-2024,25-10-2024,Digital Transformation LLC,Finance,6.1
Data Analyst,102567,Mid-Level,Full-Time,SWITZERLAND,Medium,Hybrid,"hadoop, python, pytorch",Master,4,14-01-2025,03-03-2025,Predictive Systems,Consulting,7.6
Computer Vision Engineer,72234,Entry-Level,Full-Time,IRELAND,Medium,Hybrid,"java, statistics, sql, python, kubernetes",Associate,1,08-03-2024,01-05-2024,Algorithmic Solutions,Telecommunications,9.1
Nlp Engineer,276912.875,Executive-Level,Freelance,SWITZERLAND,Medium,on-site,"python, pytorch, tensorflow",Master,15,28-02-2025,07-05-2025,Algorithmic Solutions,Gaming,6.5
Principal Data Scientist,103801,Mid-Level,Contract,NETHERLANDS,Medium,Hybrid,"nlp, aws, linux, statistics, computer vision",Master,3,22-02-2025,08-03-2025,Neural Networks Co,Telecommunications,5.2
Ai Specialist,211598,Executive-Level,Full-Time,GERMANY,Large,Hybrid,"tensorflow, scala, hadoop, deep learning, pytorch",Master,10,18-11-2024,20-01-2025,Cloud AI Solutions,Manufacturing,6.5
Principal Data Scientist,65479,Entry-Level,Contract,UNITED KINGDOM,Medium,Hybrid,"gcp, kubernetes, sql",Associate,1,06-08-2024,05-10-2024,DataVision Ltd,Manufacturing,8.9
Ml Ops Engineer,55701,Entry-Level,Contract,CANADA,Small,Hybrid,"azure, pytorch, git",Associate,1,09-10-2024,21-12-2024,TechCorp Inc,Energy,9
Machine Learning Researcher,265222,Executive-Level,Contract,SWITZERLAND,Small,on-site,"git, azure, spark, mathematics, aws",Master,14,09-03-2025,27-03-2025,TechCorp Inc,Gaming,9.8
Nlp Engineer,33734,Mid-Level,Full-Time,CHINA,Small,Hybrid,"r, sql, nlp, azure",Associate,4,27-04-2024,29-06-2024,Smart Analytics,Gaming,7.2
Ai Software Engineer,69684,Mid-Level,Full-Time,SOUTH KOREA,Small,Hybrid,"git, r, tableau, sql",Bachelor,3,01-02-2025,03-03-2025,Future Systems,Energy,7.1
Ai Specialist,96701,Mid-Level,Full-Time,AUSTRALIA,Large,Hybrid,"pytorch, hadoop, git",Master,4,20-07-2024,30-09-2024,Predictive Systems,Technology,9.2
Deep Learning Engineer,180946,Executive-Level,Freelance,IRELAND,Medium,Hybrid,"scala, aws, git, hadoop",Bachelor,19,14-12-2024,31-01-2025,Advanced Robotics,Finance,8.5
Data Analyst,166915,Executive-Level,Freelance,FINLAND,Medium,Fully remote,"java, pytorch, kubernetes, mathematics, data visualization",Associate,12,04-02-2025,08-04-2025,AI Innovations,Technology,5.2
Autonomous Systems Engineer,121685,Senior-Level,Freelance,SWEDEN,Medium,on-site,"data visualization, deep learning, python, statistics",Bachelor,9,13-03-2024,15-05-2024,TechCorp Inc,Consulting,5.2
Research Scientist,167790,Senior-Level,Freelance,NORWAY,Large,Fully remote,"linux, nlp, python",Bachelor,6,27-02-2025,16-03-2025,DeepTech Ventures,Government,9.7
Robotics Engineer,80516,Entry-Level,Contract,NETHERLANDS,Medium,on-site,"scala, git, sql, python",PhD,1,13-09-2024,21-10-2024,Cognitive Computing,Media,6
Data Scientist,100310,Mid-Level,Full-Time,UNITED KINGDOM,Small,on-site,"tensorflow, docker, gcp",Associate,2,18-01-2024,05-03-2024,Cognitive Computing,Education,7.7
Research Scientist,120643,Senior-Level,Full-Time,SWEDEN,Medium,on-site,"docker, r, deep learning, java, computer vision",Associate,6,21-04-2025,23-06-2025,Cognitive Computing,Technology,7.2
Ai Architect,68168,Mid-Level,Part-Time,AUSTRIA,Small,Fully remote,"pytorch, linux, sql, gcp, r",Bachelor,3,09-01-2025,22-02-2025,TechCorp Inc,Telecommunications,5.9
Data Engineer,103407,Executive-Level,Freelance,INDIA,Large,on-site,"python, nlp, statistics",Master,17,30-10-2024,23-12-2024,Cognitive Computing,Government,6.4
Principal Data Scientist,79353,Entry-Level,Full-Time,JAPAN,Medium,on-site,"gcp, pytorch, nlp",PhD,0,04-05-2024,19-06-2024,AI Innovations,Telecommunications,7
Principal Data Scientist,215826,Executive-Level,Full-Time,UNITED KINGDOM,Medium,Hybrid,"tableau, kubernetes, azure, r, statistics",Associate,14,03-04-2024,25-05-2024,DeepTech Ventures,Telecommunications,8.7
Data Analyst,124330,Mid-Level,Freelance,NETHERLANDS,Large,Hybrid,"python, tensorflow, deep learning",Master,3,12-12-2024,19-02-2025,Advanced Robotics,Retail,5.3
Machine Learning Engineer,53595,Entry-Level,Full-Time,FRANCE,Medium,Fully remote,"nlp, git, docker, hadoop, spark",Master,0,19-09-2024,06-11-2024,Advanced Robotics,Consulting,5.2
Ai Research Scientist,141469,Executive-Level,Freelance,GERMANY,Small,on-site,"r, python, computer vision",Master,14,08-06-2024,02-08-2024,Predictive Systems,Transportation,6.5
Computer Vision Engineer,115046,Mid-Level,Full-Time,SWEDEN,Large,Fully remote,"kubernetes, aws, gcp, scala",Master,4,14-03-2025,23-05-2025,Predictive Systems,Media,8
Machine Learning Engineer,147907,Mid-Level,Part-Time,SWITZERLAND,Medium,on-site,"sql, aws, scala, tableau",Associate,4,11-03-2025,01-04-2025,Machine Intelligence Group,Automotive,8.8
Ai Product Manager,50641,Executive-Level,Freelance,INDIA,Small,Hybrid,"data visualization, gcp, r, hadoop",PhD,19,19-06-2024,25-08-2024,DataVision Ltd,Healthcare,9.3
Ai Product Manager,214441,Executive-Level,Freelance,NETHERLANDS,Medium,on-site,"linux, scala, python, nlp, mathematics",PhD,10,19-02-2024,29-03-2024,Future Systems,Manufacturing,6.3
Computer Vision Engineer,114417,Mid-Level,Freelance,UNITED KINGDOM,Medium,Hybrid,"python, r, mathematics",PhD,2,28-03-2024,14-05-2024,Digital Transformation LLC,Technology,9.9
Ai Consultant,112932,Mid-Level,Full-Time,JAPAN,Large,Fully remote,"scala, computer vision, nlp, pytorch, spark",Bachelor,4,03-03-2025,08-04-2025,Autonomous Tech,Healthcare,9.3
Ml Ops Engineer,72211,Entry-Level,Contract,ISRAEL,Large,on-site,"git, scala, sql, mathematics",Bachelor,0,16-04-2024,05-05-2024,Cognitive Computing,Retail,9.8
Deep Learning Engineer,182222,Executive-Level,Contract,AUSTRALIA,Large,Fully remote,"azure, deep learning, java",Master,18,01-10-2024,06-11-2024,AI Innovations,Energy,7.2
Machine Learning Engineer,83596,Entry-Level,Full-Time,GERMANY,Large,Hybrid,"data visualization, nlp, kubernetes, python",PhD,0,04-01-2025,18-03-2025,Future Systems,Government,5.2
Nlp Engineer,109011,Entry-Level,Full-Time,SWITZERLAND,Large,Hybrid,"pytorch, computer vision, data visualization, r",Associate,1,25-01-2024,12-03-2024,DataVision Ltd,Consulting,8.6
Deep Learning Engineer,74573,Entry-Level,Part-Time,AUSTRALIA,Large,on-site,"git, python, mathematics, tableau, docker",PhD,0,21-10-2024,26-12-2024,Cognitive Computing,Retail,8.1
Principal Data Scientist,117158,Mid-Level,Part-Time,NETHERLANDS,Large,Hybrid,"python, tensorflow, git, computer vision, azure",Master,2,19-11-2024,17-12-2024,Future Systems,Consulting,6.4
Head Of Ai,84442,Mid-Level,Freelance,JAPAN,Medium,Hybrid,"sql, tensorflow, mathematics",PhD,2,30-12-2024,23-02-2025,Cloud AI Solutions,Telecommunications,6.8
Machine Learning Researcher,64765,Executive-Level,Freelance,INDIA,Large,Fully remote,"pytorch, scala, hadoop, computer vision",PhD,11,14-05-2024,24-06-2024,Algorithmic Solutions,Media,5.8
Data Scientist,161364,Senior-Level,Full-Time,NORWAY,Small,Fully remote,"aws, mlops, sql, azure",Bachelor,9,27-02-2024,29-04-2024,Algorithmic Solutions,Real Estate,6.5
Data Scientist,259567,Executive-Level,Part-Time,AUSTRALIA,Large,on-site,"gcp, docker, python, azure, data visualization",Master,11,23-03-2025,11-05-2025,Smart Analytics,Government,10
Machine Learning Engineer,58926,Mid-Level,Full-Time,SOUTH KOREA,Small,on-site,"statistics, pytorch, java, scala, azure",Bachelor,3,19-05-2024,04-07-2024,Smart Analytics,Education,9.8
Machine Learning Researcher,205317,Senior-Level,Freelance,UNITED STATES,Large,Fully remote,"scala, aws, tableau",Associate,7,25-10-2024,18-12-2024,Neural Networks Co,Government,7.3
Robotics Engineer,142793,Mid-Level,Part-Time,SWITZERLAND,Medium,on-site,"python, kubernetes, mathematics, statistics, gcp",Bachelor,4,19-06-2024,18-08-2024,Algorithmic Solutions,Telecommunications,7
Ai Architect,48948,Senior-Level,Freelance,INDIA,Large,Hybrid,"git, gcp, python, aws, nlp",Bachelor,5,30-08-2024,19-09-2024,Neural Networks Co,Technology,8.5
Machine Learning Engineer,101284,Mid-Level,Freelance,IRELAND,Medium,on-site,"kubernetes, docker, r, azure",Bachelor,2,07-05-2024,14-06-2024,Future Systems,Finance,7.2
Autonomous Systems Engineer,94804,Mid-Level,Contract,SOUTH KOREA,Large,Fully remote,"sql, pytorch, gcp",Associate,2,20-04-2025,25-06-2025,Cognitive Computing,Finance,8.7
Ai Consultant,55274,Entry-Level,Full-Time,SINGAPORE,Small,on-site,"python, tensorflow, spark, deep learning",Associate,1,13-12-2024,04-02-2025,DataVision Ltd,Real Estate,8.1
Machine Learning Engineer,46056,Entry-Level,Contract,FRANCE,Small,Fully remote,"kubernetes, scala, gcp",Associate,1,03-07-2024,12-09-2024,Smart Analytics,Government,7.8
Ai Research Scientist,71471,Entry-Level,Contract,SINGAPORE,Medium,Fully remote,"linux, kubernetes, nlp, deep learning, scala",Master,0,31-07-2024,20-09-2024,Quantum Computing Inc,Education,6.3
Data Analyst,173574,Executive-Level,Contract,AUSTRALIA,Small,on-site,"linux, hadoop, r",Master,12,07-03-2025,30-04-2025,AI Innovations,Finance,5.8
Ai Software Engineer,228777,Executive-Level,Part-Time,CANADA,Large,on-site,"scala, deep learning, data visualization, kubernetes, statistics",PhD,18,02-10-2024,24-10-2024,Algorithmic Solutions,Energy,8.5
Data Engineer,218206,Executive-Level,Freelance,AUSTRALIA,Medium,on-site,"linux, tensorflow, statistics, python, computer vision",PhD,17,27-04-2025,05-06-2025,Digital Transformation LLC,Technology,5.6
Autonomous Systems Engineer,218548,Executive-Level,Contract,NETHERLANDS,Large,Fully remote,"git, hadoop, linux",Master,11,08-11-2024,09-01-2025,Digital Transformation LLC,Energy,9.7
Data Scientist,137310,Senior-Level,Full-Time,FRANCE,Medium,Fully remote,"scala, nlp, java, kubernetes, linux",PhD,5,27-10-2024,13-12-2024,Advanced Robotics,Government,5.8
Research Scientist,112353,Mid-Level,Contract,NETHERLANDS,Large,on-site,"pytorch, gcp, mathematics, deep learning",Associate,2,18-11-2024,29-01-2025,Algorithmic Solutions,Media,9.6
Data Analyst,217691,Executive-Level,Full-Time,GERMANY,Medium,Hybrid,"r, sql, nlp",PhD,10,17-01-2025,04-03-2025,Machine Intelligence Group,Real Estate,9.8
Data Engineer,82416,Mid-Level,Freelance,FRANCE,Large,Fully remote,"git, tableau, hadoop, java, linux",PhD,2,25-07-2024,08-08-2024,Machine Intelligence Group,Telecommunications,9.1
Data Engineer,271408,Executive-Level,Contract,FINLAND,Large,Hybrid,"kubernetes, r, sql",Associate,19,22-02-2025,04-05-2025,Neural Networks Co,Real Estate,5.3
Robotics Engineer,50767,Entry-Level,Full-Time,ISRAEL,Medium,Fully remote,"kubernetes, git, python",Master,0,13-08-2024,04-10-2024,DeepTech Ventures,Government,9.7
Computer Vision Engineer,110614,Senior-Level,Full-Time,FRANCE,Large,Fully remote,"sql, python, kubernetes",Master,6,11-12-2024,01-01-2025,Autonomous Tech,Real Estate,5.7
Computer Vision Engineer,92141,Mid-Level,Contract,NETHERLANDS,Medium,Fully remote,"scala, python, statistics, deep learning",PhD,3,18-04-2024,15-05-2024,DeepTech Ventures,Technology,6.9
Machine Learning Engineer,48318,Entry-Level,Freelance,SOUTH KOREA,Medium,Hybrid,"spark, kubernetes, statistics",PhD,1,08-04-2025,22-04-2025,Cloud AI Solutions,Retail,5.6
Research Scientist,263753,Executive-Level,Freelance,AUSTRIA,Large,Fully remote,"linux, python, git, spark",Bachelor,11,23-04-2024,02-06-2024,Algorithmic Solutions,Automotive,8.3
Machine Learning Researcher,273323,Executive-Level,Part-Time,SWITZERLAND,Medium,Hybrid,"sql, statistics, tableau",PhD,12,10-04-2025,26-05-2025,Machine Intelligence Group,Automotive,8.7
Research Scientist,62268,Mid-Level,Full-Time,FINLAND,Small,on-site,"docker, sql, spark, linux",Associate,2,21-02-2025,13-04-2025,Cognitive Computing,Transportation,6.9
Nlp Engineer,116686,Mid-Level,Full-Time,IRELAND,Large,Hybrid,"azure, sql, data visualization, python, kubernetes",Master,2,16-04-2025,21-06-2025,Smart Analytics,Finance,9.9
Ai Research Scientist,129353,Senior-Level,Freelance,GERMANY,Medium,on-site,"python, deep learning, java",PhD,9,29-12-2024,08-03-2025,Smart Analytics,Finance,8.5
Principal Data Scientist,267772,Executive-Level,Full-Time,NETHERLANDS,Large,on-site,"python, r, mlops, gcp, kubernetes",Master,15,28-12-2024,11-02-2025,Quantum Computing Inc,Real Estate,7.8
Ai Architect,59923,Entry-Level,Contract,NETHERLANDS,Medium,Fully remote,"r, java, mathematics, mlops, nlp",Associate,1,04-02-2025,06-04-2025,AI Innovations,Consulting,7.1
Data Analyst,75531,Executive-Level,Contract,INDIA,Large,on-site,"java, r, spark, mlops",PhD,11,09-11-2024,18-01-2025,Quantum Computing Inc,Manufacturing,9.1
Ai Specialist,71196,Entry-Level,Freelance,ISRAEL,Large,on-site,"data visualization, deep learning, docker",Master,1,27-01-2024,21-03-2024,Neural Networks Co,Transportation,9.2
Ai Specialist,88243,Mid-Level,Freelance,SWEDEN,Small,Hybrid,"sql, java, pytorch",Master,2,03-10-2024,24-10-2024,Future Systems,Automotive,9
Robotics Engineer,105621,Senior-Level,Part-Time,JAPAN,Small,Fully remote,"python, r, gcp, mlops, tensorflow",Associate,7,03-06-2024,28-07-2024,AI Innovations,Gaming,5.6
Ai Product Manager,98658,Senior-Level,Contract,CANADA,Small,on-site,"sql, scala, python",Associate,5,09-02-2024,23-03-2024,Algorithmic Solutions,Consulting,6.2
Machine Learning Researcher,61301,Executive-Level,Freelance,INDIA,Large,Fully remote,"python, tensorflow, gcp",Associate,10,19-03-2024,10-05-2024,Cognitive Computing,Education,7.6
Head Of Ai,170872,Executive-Level,Full-Time,NORWAY,Small,on-site,"aws, hadoop, data visualization",PhD,16,10-06-2024,06-07-2024,Smart Analytics,Consulting,10
Ai Software Engineer,56083,Entry-Level,Full-Time,SOUTH KOREA,Large,on-site,"kubernetes, hadoop, statistics",Bachelor,1,06-12-2024,02-02-2025,DeepTech Ventures,Education,8.6
Ai Architect,71351,Entry-Level,Freelance,NETHERLANDS,Small,on-site,"python, tensorflow, computer vision, pytorch, sql",PhD,1,15-11-2024,20-01-2025,Cloud AI Solutions,Finance,6.3
Deep Learning Engineer,131806,Senior-Level,Contract,AUSTRALIA,Large,on-site,"tensorflow, linux, java",Bachelor,6,13-08-2024,04-10-2024,Neural Networks Co,Retail,6.9
Head Of Ai,85952,Entry-Level,Contract,NORWAY,Medium,Hybrid,"nlp, data visualization, tensorflow, linux",PhD,1,07-01-2024,24-02-2024,Cloud AI Solutions,Automotive,7.8
Head Of Ai,177858,Senior-Level,Full-Time,SINGAPORE,Large,on-site,"tensorflow, mathematics, docker, tableau, deep learning",Associate,8,02-10-2024,23-10-2024,DeepTech Ventures,Education,9.6
Head Of Ai,210574,Senior-Level,Freelance,DENMARK,Large,on-site,"hadoop, scala, python, computer vision, deep learning",Associate,9,24-08-2024,31-10-2024,TechCorp Inc,Government,6.1
Computer Vision Engineer,96894,Mid-Level,Full-Time,SOUTH KOREA,Large,Fully remote,"scala, spark, data visualization",Master,4,18-11-2024,25-01-2025,AI Innovations,Gaming,5.2
Ai Research Scientist,137829,Executive-Level,Freelance,AUSTRALIA,Medium,Fully remote,"gcp, hadoop, pytorch, spark, r",Bachelor,16,03-11-2024,28-12-2024,Neural Networks Co,Energy,7.4
Data Analyst,99906,Mid-Level,Contract,ISRAEL,Medium,Hybrid,"kubernetes, sql, python, deep learning",Bachelor,4,30-05-2024,27-07-2024,DeepTech Ventures,Education,8
Ai Consultant,78189,Entry-Level,Full-Time,CANADA,Large,Hybrid,"docker, gcp, java, mathematics",Bachelor,1,21-06-2024,29-07-2024,DeepTech Ventures,Retail,5.3
Head Of Ai,221259,Executive-Level,Contract,JAPAN,Large,Fully remote,"python, sql, scala, tableau",PhD,12,22-01-2025,15-02-2025,AI Innovations,Energy,8.1
Data Engineer,69907,Entry-Level,Contract,UNITED KINGDOM,Small,Fully remote,"gcp, git, sql, nlp",Bachelor,1,15-09-2024,01-11-2024,Predictive Systems,Retail,7
Computer Vision Engineer,114573,Mid-Level,Contract,GERMANY,Large,on-site,"scala, tensorflow, sql",Master,4,22-02-2024,24-03-2024,Algorithmic Solutions,Manufacturing,8.9
Autonomous Systems Engineer,91770,Senior-Level,Part-Time,CANADA,Small,Fully remote,"python, deep learning, tensorflow, hadoop, gcp",Master,7,08-02-2025,04-03-2025,Autonomous Tech,Finance,9.5
Ai Research Scientist,97661,Senior-Level,Full-Time,GERMANY,Small,on-site,"scala, data visualization, git, aws, hadoop",PhD,5,24-12-2024,02-02-2025,Cognitive Computing,Healthcare,7.9
Machine Learning Researcher,93001,Senior-Level,Full-Time,ISRAEL,Small,on-site,"r, kubernetes, aws",Master,8,23-05-2024,01-08-2024,Cloud AI Solutions,Healthcare,7.1
Machine Learning Researcher,138207,Executive-Level,Freelance,CANADA,Small,Hybrid,"aws, java, data visualization",Bachelor,19,30-01-2024,22-02-2024,Future Systems,Healthcare,5.6
Ml Ops Engineer,87070,Mid-Level,Full-Time,AUSTRIA,Large,on-site,"data visualization, kubernetes, sql, deep learning, gcp",Bachelor,4,17-02-2024,08-03-2024,Future Systems,Real Estate,5.7
Research Scientist,102685,Senior-Level,Full-Time,SOUTH KOREA,Small,on-site,"nlp, kubernetes, pytorch, azure, tableau",Bachelor,9,03-10-2024,26-11-2024,DataVision Ltd,Consulting,9
Ai Consultant,36735,Mid-Level,Contract,INDIA,Medium,on-site,"python, aws, data visualization, tensorflow, spark",Associate,2,12-02-2025,19-03-2025,Cognitive Computing,Media,7.2
Machine Learning Researcher,141810,Executive-Level,Part-Time,GERMANY,Medium,Fully remote,"kubernetes, azure, statistics, r, tableau",Associate,18,09-04-2024,16-06-2024,Algorithmic Solutions,Telecommunications,5.2
Head Of Ai,44764,Entry-Level,Full-Time,SOUTH KOREA,Medium,Hybrid,"spark, kubernetes, nlp, python, linux",Associate,1,08-02-2025,27-02-2025,Future Systems,Energy,9.1
Machine Learning Engineer,251178,Executive-Level,Freelance,AUSTRIA,Large,on-site,"gcp, scala, sql, deep learning",Associate,15,10-08-2024,30-09-2024,Digital Transformation LLC,Government,5
Autonomous Systems Engineer,276912.875,Executive-Level,Contract,NORWAY,Medium,Hybrid,"java, pytorch, aws, r, hadoop",Associate,19,13-04-2025,31-05-2025,DataVision Ltd,Healthcare,5.8
Data Scientist,47064,Entry-Level,Part-Time,IRELAND,Small,on-site,"python, linux, computer vision, azure",Master,1,16-04-2024,26-05-2024,TechCorp Inc,Technology,9.6
Nlp Engineer,133682,Senior-Level,Part-Time,SINGAPORE,Medium,Fully remote,"data visualization, kubernetes, r, aws, nlp",Master,6,05-12-2024,11-02-2025,TechCorp Inc,Technology,8.7
Machine Learning Researcher,104881,Senior-Level,Contract,UNITED KINGDOM,Small,on-site,"r, scala, linux",PhD,5,20-12-2024,26-01-2025,Future Systems,Real Estate,7.9
Data Scientist,93613,Executive-Level,Full-Time,INDIA,Large,Fully remote,"azure, pytorch, hadoop",Bachelor,11,05-01-2025,06-02-2025,AI Innovations,Technology,5.7
Ai Architect,207719,Executive-Level,Full-Time,SWEDEN,Small,Hybrid,"tableau, aws, pytorch",Associate,17,02-10-2024,12-12-2024,Autonomous Tech,Consulting,5.8
Data Scientist,169583,Executive-Level,Full-Time,JAPAN,Small,Fully remote,"python, statistics, azure, tableau, scala",Associate,15,09-12-2024,18-02-2025,Digital Transformation LLC,Transportation,7.7
Data Scientist,102146,Entry-Level,Full-Time,SWITZERLAND,Medium,on-site,"python, deep learning, r",PhD,1,07-01-2025,20-02-2025,Machine Intelligence Group,Technology,5.2
Ai Product Manager,171881,Senior-Level,Freelance,AUSTRALIA,Large,Hybrid,"pytorch, aws, data visualization, git, deep learning",PhD,6,12-05-2024,24-07-2024,AI Innovations,Consulting,8.1
Data Scientist,24066,Entry-Level,Full-Time,INDIA,Small,on-site,"tensorflow, computer vision, python",Master,0,26-12-2024,09-01-2025,Cloud AI Solutions,Finance,7.7
Ai Architect,149018,Executive-Level,Part-Time,FRANCE,Large,on-site,"tensorflow, docker, spark, nlp",Associate,18,03-09-2024,22-09-2024,Future Systems,Finance,7.6
Principal Data Scientist,119622,Senior-Level,Part-Time,AUSTRALIA,Small,Fully remote,"aws, scala, kubernetes, mathematics",Bachelor,5,01-01-2024,14-03-2024,Smart Analytics,Consulting,6.5
Machine Learning Researcher,135418,Senior-Level,Full-Time,SWEDEN,Medium,on-site,"kubernetes, gcp, docker",PhD,8,15-02-2024,09-04-2024,Algorithmic Solutions,Gaming,6.1
Robotics Engineer,80410,Mid-Level,Part-Time,UNITED KINGDOM,Medium,Fully remote,"scala, pytorch, nlp",Bachelor,2,12-05-2024,04-07-2024,Predictive Systems,Retail,8
Ai Architect,158403,Senior-Level,Part-Time,JAPAN,Medium,on-site,"r, kubernetes, git",PhD,6,15-03-2024,05-05-2024,Machine Intelligence Group,Real Estate,8.8
Deep Learning Engineer,143401,Executive-Level,Contract,AUSTRIA,Medium,Hybrid,"git, computer vision, statistics, kubernetes, java",PhD,18,26-01-2024,04-04-2024,Advanced Robotics,Telecommunications,9.7
Nlp Engineer,72505,Mid-Level,Contract,ISRAEL,Small,on-site,"sql, linux, scala",Bachelor,2,26-04-2025,01-06-2025,Digital Transformation LLC,Gaming,6.3
Principal Data Scientist,101052,Mid-Level,Contract,FRANCE,Large,Fully remote,"java, python, mathematics, gcp, spark",Bachelor,3,09-09-2024,13-11-2024,Algorithmic Solutions,Real Estate,6
Robotics Engineer,90464,Mid-Level,Full-Time,CANADA,Small,Hybrid,"scala, kubernetes, mathematics, tableau, hadoop",Master,3,29-11-2024,16-01-2025,DeepTech Ventures,Finance,5.1
Machine Learning Engineer,155870,Executive-Level,Contract,FINLAND,Medium,Fully remote,"gcp, sql, pytorch, data visualization",Bachelor,18,03-06-2024,08-08-2024,TechCorp Inc,Technology,8.4
Autonomous Systems Engineer,86105,Executive-Level,Freelance,INDIA,Medium,Fully remote,"tensorflow, linux, azure, kubernetes, spark",Associate,16,30-01-2025,07-03-2025,Algorithmic Solutions,Finance,7.9
Ai Software Engineer,60304,Entry-Level,Part-Time,GERMANY,Medium,Fully remote,"sql, scala, azure",Master,1,27-09-2024,04-12-2024,Algorithmic Solutions,Media,8.9
Nlp Engineer,158258,Senior-Level,Contract,DENMARK,Small,Hybrid,"nlp, mlops, python, deep learning",Master,8,18-07-2024,18-08-2024,Future Systems,Finance,9.5
Robotics Engineer,139108,Senior-Level,Full-Time,DENMARK,Medium,Hybrid,"gcp, r, spark, data visualization, docker",PhD,7,05-05-2024,19-05-2024,Advanced Robotics,Healthcare,7.9
Robotics Engineer,127647,Senior-Level,Freelance,UNITED KINGDOM,Large,Hybrid,"sql, kubernetes, tensorflow, aws, r",Master,8,22-06-2024,14-07-2024,Smart Analytics,Gaming,8.1
Nlp Engineer,113026,Senior-Level,Full-Time,CANADA,Large,Hybrid,"nlp, linux, python, deep learning, java",Associate,8,09-01-2025,21-02-2025,AI Innovations,Gaming,8.4
Nlp Engineer,160446,Executive-Level,Full-Time,UNITED STATES,Medium,Hybrid,"mathematics, sql, mlops, pytorch",Associate,16,26-04-2024,07-07-2024,AI Innovations,Manufacturing,5.5
Research Scientist,170414,Senior-Level,Full-Time,DENMARK,Small,Hybrid,"kubernetes, azure, computer vision",Associate,5,14-08-2024,16-09-2024,Predictive Systems,Gaming,8.1
Robotics Engineer,153701,Executive-Level,Full-Time,FINLAND,Large,Fully remote,"spark, kubernetes, statistics",PhD,15,04-08-2024,08-09-2024,Neural Networks Co,Telecommunications,6.6
Ai Research Scientist,66536,Entry-Level,Full-Time,SINGAPORE,Medium,Hybrid,"mathematics, sql, kubernetes",Bachelor,1,17-03-2024,17-04-2024,Cloud AI Solutions,Government,9.9
Autonomous Systems Engineer,144573,Executive-Level,Contract,SOUTH KOREA,Small,Fully remote,"linux, statistics, gcp, python, computer vision",PhD,18,30-11-2024,10-02-2025,Quantum Computing Inc,Energy,8
Autonomous Systems Engineer,39124,Senior-Level,Full-Time,INDIA,Medium,on-site,"deep learning, mlops, statistics, spark",Master,5,12-10-2024,15-11-2024,Quantum Computing Inc,Manufacturing,5.7
Machine Learning Researcher,148877,Senior-Level,Freelance,NETHERLANDS,Large,Hybrid,"hadoop, docker, nlp",Associate,5,28-06-2024,17-08-2024,Smart Analytics,Consulting,9.8
Research Scientist,62439,Entry-Level,Full-Time,AUSTRALIA,Small,Fully remote,"java, python, kubernetes, gcp",Bachelor,1,05-06-2024,29-06-2024,DeepTech Ventures,Technology,7.9
